Период уплаты премии;Возраст Застрахованного;Пол;Смерть ЛП;Инвалидность 1,2. гр. ЛП;Смерть НС;Смерть ДТП;Травма;"КЗ РФ
Взнос";"КЗ Зарубеж
Взнос";i
1;18;m;0,05270%;0,01631%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
1;19;m;0,06160%;0,01631%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
1;20;m;0,07134%;0,01631%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
1;21;m;0,08169%;0,01631%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
1;22;m;0,09264%;0,01631%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
1;23;m;0,10431%;0,01631%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
1;24;m;0,11670%;0,01631%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
1;25;m;0,12970%;0,01631%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
1;26;m;0,14257%;0,01631%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
1;27;m;0,15532%;0,01631%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
1;28;m;0,16771%;0,01631%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
1;29;m;0,17986%;0,01631%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
1;30;m;0,19166%;0,01631%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
1;31;m;0,20248%;0,01823%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
1;32;m;0,21235%;0,02061%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
1;33;m;0,22149%;0,02367%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
1;34;m;0,23028%;0,02706%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
1;35;m;0,23906%;0,03080%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
