Период уплаты премии;Возраст Застрахованного;Пол;Смерть ЛП;Инвалидность 1,2. гр. ЛП;Смерть НС;Смерть ДТП;Травма;"КЗ РФ
Взнос";"КЗ Зарубеж
Взнос";i;;;
1;18;m;0,0527%;0,0163%;0,0968%;0,0242%;0,1584%;8 840,00;51 390,00;0,08;;;
1;19;m;0,0616%;0,0163%;0,0968%;0,0242%;0,1584%;8 840,00;51 390,00;0,08;;;
1;20;m;0,0713%;0,0163%;0,0968%;0,0242%;0,1584%;8 840,00;51 390,00;0,08;;;
1;21;m;0,0817%;0,0163%;0,0968%;0,0242%;0,1584%;8 840,00;51 390,00;0,08;;;
1;22;m;0,0926%;0,0163%;0,0968%;0,0242%;0,1584%;8 840,00;51 390,00;0,08;;;
1;23;m;0,1043%;0,0163%;0,0968%;0,0242%;0,1584%;8 840,00;51 390,00;0,08;;;
1;24;m;0,1167%;0,0163%;0,0968%;0,0242%;0,1584%;8 840,00;51 390,00;0,08;;;
1;25;m;0,1297%;0,0163%;0,0968%;0,0242%;0,1584%;8 840,00;51 390,00;0,08;;;
1;26;m;0,1426%;0,0163%;0,0968%;0,0242%;0,1584%;8 840,00;51 390,00;0,08;;;
1;27;m;0,1553%;0,0163%;0,0968%;0,0242%;0,1584%;8 840,00;51 390,00;0,08;;;
1;28;m;0,1677%;0,0163%;0,0968%;0,0242%;0,1584%;8 840,00;51 390,00;0,08;;;
1;29;m;0,1799%;0,0163%;0,0968%;0,0242%;0,1584%;8 840,00;51 390,00;0,08;;;
1;30;m;0,1917%;0,0163%;0,0968%;0,0242%;0,1584%;8 840,00;51 390,00;0,08;;;
1;31;m;0,2025%;0,0182%;0,0968%;0,0242%;0,1584%;8 840,00;51 390,00;0,08;;;
1;32;m;0,2124%;0,0206%;0,0968%;0,0242%;0,1584%;8 840,00;51 390,00;0,08;;;
1;33;m;0,2215%;0,0237%;0,0968%;0,0242%;0,1584%;8 840,00;51 390,00;0,08;;;
1;34;m;0,2303%;0,0271%;0,0968%;0,0242%;0,1584%;8 840,00;51 390,00;0,08;;;
1;35;m;0,2391%;0,0308%;0,0968%;0,0242%;0,1584%;8 840,00;51 390,00;0,08;;;
1;36;m;0,2484%;0,0356%;0,0968%;0,0242%;0,1584%;8 840,00;51 390,00;0,08;;;
1;37;m;0,2587%;0,0407%;0,0968%;0,0242%;0,1584%;8 840,00;51 390,00;0,08;;;
1;38;m;0,2703%;0,0465%;0,0968%;0,0242%;0,1584%;8 840,00;51 390,00;0,08;;;
1;39;m;0,2838%;0,0533%;0,0968%;0,0242%;0,1584%;8 840,00;51 390,00;0,08;;;
1;40;m;0,2992%;0,0614%;0,0968%;0,0242%;0,1584%;8 840,00;51 390,00;0,08;;;
1;41;m;0,3159%;0,0683%;0,0968%;0,0242%;0,1584%;8 840,00;51 390,00;0,08;;;
1;42;m;0,3341%;0,0769%;0,0968%;0,0242%;0,1584%;8 840,00;51 390,00;0,08;;;
1;43;m;0,3542%;0,0865%;0,0968%;0,0242%;0,1584%;8 840,00;51 390,00;0,08;;;
1;44;m;0,3765%;0,0973%;0,0968%;0,0242%;0,1584%;8 840,00;51 390,00;0,08;;;
1;45;m;0,4010%;0,1088%;0,0968%;0,0242%;0,1584%;8 840,00;51 390,00;0,08;;;
1;46;m;0,4273%;0,1209%;0,0968%;0,0242%;0,1584%;8 840,00;51 390,00;0,08;;;
1;47;m;0,4556%;0,1336%;0,0968%;0,0242%;0,1584%;8 840,00;51 390,00;0,08;;;
1;48;m;0,4865%;0,1468%;0,0968%;0,0242%;0,1584%;8 840,00;51 390,00;0,08;;;
1;49;m;0,5204%;0,1611%;0,0968%;0,0242%;0,1584%;8 840,00;51 390,00;0,08;;;
1;50;m;0,5572%;0,1855%;0,0968%;0,0242%;0,1584%;8 840,00;51 390,00;0,08;;;
1;51;m;0,5957%;0,2028%;0,0968%;0,0242%;0,1584%;8 840,00;51 390,00;0,08;;;
1;52;m;0,6360%;0,2214%;0,0968%;0,0242%;0,1584%;8 840,00;51 390,00;0,08;;;
1;53;m;0,6788%;0,2406%;0,0968%;0,0242%;0,1584%;8 840,00;51 390,00;0,08;;;
1;54;m;0,7246%;0,2606%;0,0968%;0,0242%;0,1584%;8 840,00;51 390,00;0,08;;;
1;55;m;0,7737%;0,2809%;0,0968%;0,0242%;0,1584%;8 840,00;51 390,00;0,08;;;
1;56;m;0,8243%;0,3025%;0,0968%;0,0242%;0,1584%;8 840,00;51 390,00;0,08;;;
1;57;m;0,8766%;0,3256%;0,0968%;0,0242%;0,1584%;8 840,00;51 390,00;0,08;;;
1;58;m;0,9318%;0,3498%;0,0968%;0,0242%;0,1584%;8 840,00;51 390,00;0,08;;;
1;59;m;0,9912%;0,3764%;0,0968%;0,0242%;0,1584%;8 840,00;51 390,00;0,08;;;
1;60;m;1,0549%;0,4053%;0,0968%;0,0242%;0,1584%;8 840,00;51 390,00;0,08;;;
1;61;m;1,1217%;0,4363%;0,0968%;0,0242%;0,1584%;8 840,00;51 390,00;0,08;;;
1;62;m;1,1918%;0,4695%;0,0968%;0,0242%;0,1584%;8 840,00;51 390,00;0,08;;;
1;63;m;1,2669%;0,5046%;0,0968%;0,0242%;0,1584%;8 840,00;51 390,00;0,08;;;
1;64;m;1,3482%;0,5423%;0,0968%;0,0242%;0,1584%;8 840,00;51 390,00;0,08;;;
1;65;m;1,4357%;0,0000%;0,0968%;0,0242%;0,1584%;0;0;0,08;;;
1;66;m;1,5264%;0,0000%;0,0968%;0,0242%;0,1584%;0;0;0,08;;;
1;67;m;1,6208%;0,0000%;0,0968%;0,0242%;0,1584%;0;0;0,08;;;
1;68;m;1,7213%;0,0000%;0,0968%;0,0242%;0,1584%;0;0;0,08;;;
1;69;m;1,8304%;0,0000%;0,0968%;0,0242%;0,1584%;0;0;0,08;;;
1;70;m;1,9496%;0,0000%;0,0968%;0,0242%;0,1584%;0;0;0,08;;;
2;18;m;0,0570%;0,0163%;0,0968%;0,0242%;0,1584%;8 840,00;51 390,00;0,08;;;
2;19;m;0,0663%;0,0163%;0,0968%;0,0242%;0,1584%;8 840,00;51 390,00;0,08;;;
2;20;m;0,0763%;0,0163%;0,0968%;0,0242%;0,1584%;8 840,00;51 390,00;0,08;;;
2;21;m;0,0870%;0,0163%;0,0968%;0,0242%;0,1584%;8 840,00;51 390,00;0,08;;;
2;22;m;0,0983%;0,0163%;0,0968%;0,0242%;0,1584%;8 840,00;51 390,00;0,08;;;
2;23;m;0,1103%;0,0163%;0,0968%;0,0242%;0,1584%;8 840,00;51 390,00;0,08;;;
2;24;m;0,1229%;0,0163%;0,0968%;0,0242%;0,1584%;8 840,00;51 390,00;0,08;;;
2;25;m;0,1359%;0,0163%;0,0968%;0,0242%;0,1584%;8 840,00;51 390,00;0,08;;;
2;26;m;0,1487%;0,0163%;0,0968%;0,0242%;0,1584%;8 840,00;51 390,00;0,08;;;
2;27;m;0,1613%;0,0163%;0,0968%;0,0242%;0,1584%;8 840,00;51 390,00;0,08;;;
2;28;m;0,1736%;0,0163%;0,0968%;0,0242%;0,1584%;8 840,00;51 390,00;0,08;;;
2;29;m;0,1855%;0,0163%;0,0968%;0,0242%;0,1584%;8 840,00;51 390,00;0,08;;;
2;30;m;0,1969%;0,0173%;0,0968%;0,0242%;0,1584%;8 840,00;51 390,00;0,08;;;
2;31;m;0,2072%;0,0194%;0,0968%;0,0242%;0,1584%;8 840,00;51 390,00;0,08;;;
2;32;m;0,2167%;0,0221%;0,0968%;0,0242%;0,1584%;8 840,00;51 390,00;0,08;;;
2;33;m;0,2257%;0,0253%;0,0968%;0,0242%;0,1584%;8 840,00;51 390,00;0,08;;;
2;34;m;0,2345%;0,0289%;0,0968%;0,0242%;0,1584%;8 840,00;51 390,00;0,08;;;
2;35;m;0,2436%;0,0331%;0,0968%;0,0242%;0,1584%;8 840,00;51 390,00;0,08;;;
2;36;m;0,2534%;0,0381%;0,0968%;0,0242%;0,1584%;8 840,00;51 390,00;0,08;;;
2;37;m;0,2643%;0,0435%;0,0968%;0,0242%;0,1584%;8 840,00;51 390,00;0,08;;;
2;38;m;0,2768%;0,0499%;0,0968%;0,0242%;0,1584%;8 840,00;51 390,00;0,08;;;
2;39;m;0,2912%;0,0573%;0,0968%;0,0242%;0,1584%;8 840,00;51 390,00;0,08;;;
2;40;m;0,3072%;0,0648%;0,0968%;0,0242%;0,1584%;8 840,00;51 390,00;0,08;;;
2;41;m;0,3247%;0,0725%;0,0968%;0,0242%;0,1584%;8 840,00;51 390,00;0,08;;;
2;42;m;0,3438%;0,0817%;0,0968%;0,0242%;0,1584%;8 840,00;51 390,00;0,08;;;
2;43;m;0,3649%;0,0918%;0,0968%;0,0242%;0,1584%;8 840,00;51 390,00;0,08;;;
2;44;m;0,3882%;0,1030%;0,0968%;0,0242%;0,1584%;8 840,00;51 390,00;0,08;;;
2;45;m;0,4136%;0,1149%;0,0968%;0,0242%;0,1584%;8 840,00;51 390,00;0,08;;;
2;46;m;0,4409%;0,1273%;0,0968%;0,0242%;0,1584%;8 840,00;51 390,00;0,08;;;
2;47;m;0,4705%;0,1403%;0,0968%;0,0242%;0,1584%;8 840,00;51 390,00;0,08;;;
2;48;m;0,5028%;0,1540%;0,0968%;0,0242%;0,1584%;8 840,00;51 390,00;0,08;;;
2;49;m;0,5380%;0,1733%;0,0968%;0,0242%;0,1584%;8 840,00;51 390,00;0,08;;;
2;50;m;0,5756%;0,1943%;0,0968%;0,0242%;0,1584%;8 840,00;51 390,00;0,08;;;
2;51;m;0,6150%;0,2124%;0,0968%;0,0242%;0,1584%;8 840,00;51 390,00;0,08;;;
2;52;m;0,6565%;0,2314%;0,0968%;0,0242%;0,1584%;8 840,00;51 390,00;0,08;;;
2;53;m;0,7008%;0,2510%;0,0968%;0,0242%;0,1584%;8 840,00;51 390,00;0,08;;;
2;54;m;0,7481%;0,2713%;0,0968%;0,0242%;0,1584%;8 840,00;51 390,00;0,08;;;
2;55;m;0,7979%;0,2924%;0,0968%;0,0242%;0,1584%;8 840,00;51 390,00;0,08;;;
2;56;m;0,8493%;0,3148%;0,0968%;0,0242%;0,1584%;8 840,00;51 390,00;0,08;;;
2;57;m;0,9030%;0,3387%;0,0968%;0,0242%;0,1584%;8 840,00;51 390,00;0,08;;;
2;58;m;0,9602%;0,3642%;0,0968%;0,0242%;0,1584%;8 840,00;51 390,00;0,08;;;
2;59;m;1,0217%;0,3922%;0,0968%;0,0242%;0,1584%;8 840,00;51 390,00;0,08;;;
2;60;m;1,0868%;0,4224%;0,0968%;0,0242%;0,1584%;8 840,00;51 390,00;0,08;;;
2;61;m;1,1552%;0,4548%;0,0968%;0,0242%;0,1584%;8 840,00;51 390,00;0,08;;;
2;62;m;1,2277%;0,4892%;0,0968%;0,0242%;0,1584%;8 840,00;51 390,00;0,08;;;
2;63;m;1,3057%;0,5260%;0,0968%;0,0242%;0,1584%;8 840,00;51 390,00;0,08;;;
2;64;m;1,3900%;0,5423%;0,0968%;0,0242%;0,1584%;8 840,00;51 390,00;0,08;;;
2;65;m;1,4789%;0,0000%;0,0968%;0,0242%;0,1584%;0;0;0,08;;;
2;66;m;1,5714%;0,0000%;0,0968%;0,0242%;0,1584%;0;0;0,08;;;
2;67;m;1,6687%;0,0000%;0,0968%;0,0242%;0,1584%;0;0;0,08;;;
2;68;m;1,7733%;0,0000%;0,0968%;0,0242%;0,1584%;0;0;0,08;;;
2;69;m;1,8872%;0,0000%;0,0968%;0,0242%;0,1584%;0;0;0,08;;;
2;70;m;1,7483%;0,0000%;0,0968%;0,0242%;0,1584%;0;0;0,08;;;
3;18;m;0,0614%;0,0163%;0,0968%;0,0242%;0,1584%;8 840,00;51 390,00;0,08;;;
3;19;m;0,0710%;0,0163%;0,0968%;0,0242%;0,1584%;8 840,00;51 390,00;0,08;;;
3;20;m;0,0813%;0,0163%;0,0968%;0,0242%;0,1584%;8 840,00;51 390,00;0,08;;;
3;21;m;0,0923%;0,0163%;0,0968%;0,0242%;0,1584%;8 840,00;51 390,00;0,08;;;
